POSTE;DATE;RR;TN;TX;FXY;DXY;GLOT;NEIG;BROU;ORAG
31069001;19720226;0,2;4,6;11,4;;;;0;1;0
31069001;19720227;5,2;2,7;10,9;;;;0;0;0
31069001;19720228;0;6,5;12,9;;;;0;0;0
31069001;19720229;0;2,1;12,6;;;;0;0;0
31069001;19720301;4;-0,3;8,6;;;;0;1;0
31069001;19720302;1,2;5;11,3;;;;0;0;0
31069001;19720303;1,5;5,4;14;;;;0;0;0
31069001;19720304;8,9;6;9,4;;;;0;0;0
31069001;19720305;7,3;2,8;9,9;;;;0;0;0
31069001;19720306;12,9;2,4;13,8;;;;0;0;0
31069001;19720307;1,9;4,5;12,8;;;;0;0;0
31069001;19720308;0;1,4;13,2;;;;0;0;0
31069001;19720309;0;1,2;12,8;;;;0;0;0
31069001;19720310;0;3,9;11,8;;;;0;0;0
31069001;19720311;0;6;12;;;;0;0;0
31069001;19720312;0;2,7;12,7;;;;0;0;0
31069001;19720313;0;6,6;16,7;;;;0;0;0
31069001;19720314;0;9,8;14,8;;;;0;0;0
31069001;19720315;3,1;10,3;13,6;;;;0;0;0
31069001;19720316;0;9,1;17;;;;0;0;0
31069001;19720317;0;6;18,3;;;;0;0;0
31069001;19720318;0;4;20,7;;;;0;0;0
31069001;19720319;0;3,4;18,4;;;;0;0;0
31069001;19720320;11,2;9,4;16,6;;;;0;0;1
31069001;19720321;0;3,5;17,9;;;;0;1;0
31069001;19720322;0;4,4;18,1;;;;0;1;0
31069001;19720323;0;3,5;20,3;;;;0;0;0
31069001;19720324;0;3;20,4;;;;0;0;0
31069001;19720325;0;4,1;19,6;;;;0;0;0
31069001;19720326;7;7,9;14,6;;;;0;0;0
31069001;19720327;0;4,5;13,2;;;;0;0;0
31069001;19720328;0;3,8;13,7;;;;0;0;0
31069001;19720329;0;7,5;15,7;;;;0;0;0
31069001;19720330;2,2;3,1;20,7;;;;0;0;0
31069001;19720331;7,1;8,8;15,7;;;;0;0;0
31069001;19720401;0,7;6,9;14,6;;;;0;0;0
31069001;19720402;0;10,6;17,1;;;;0;0;0
31069001;19720403;0;7;21,1;;;;0;1;0
31069001;19720404;8,5;9,3;16,3;;;;0;1;0
31069001;19720405;3;8,9;14,4;;;;0;0;0
31069001;19720406;0,2;7,6;17,2;;;;0;0;0
31069001;19720407;12,9;5,4;23,1;;;;0;1;1
31069001;19720408;1;8,8;14,4;;;;0;0;0
31069001;19720409;1,4;4,6;14,9;;;;0;0;0
31069001;19720410;1,8;6,5;12,7;;;;0;0;0
31069001;19720411;22,3;8,2;13,7;;;;0;0;0
31069001;19720412;5,1;5,5;12,3;;;;0;0;1
31069001;19720413;0,1;7,2;14,9;;;;0;0;0
31069001;19720414;2,5;9,8;15,2;;;;0;0;0
31069001;19720415;1,5;8,8;13,3;;;;0;0;0
31069001;19720416;0,1;3,2;12,2;;;;0;0;0
31069001;19720417;4,6;4,4;9,1;;;;0;0;0
31069001;19720418;0;5,6;9,1;;;;0;0;0
31069001;19720419;9,3;6,9;10,3;;;;0;0;0
31069001;19720420;3,5;4,5;11,2;;;;0;0;0
31069001;19720421;1,1;4,7;9;;;;0;0;0
31069001;19720422;2,9;6,9;12,8;;;;0;0;1
31069001;19720423;0,1;6,4;16,3;;;;0;0;0
31069001;19720424;6;8,6;14,1;;;;0;0;0
31069001;19720425;0;6,4;12,8;;;;0;0;0
31069001;19720426;0;1,5;11;;;;0;0;0
31069001;19720427;0;4,4;12,1;;;;0;0;0
31069001;19720428;0;7,6;14,6;;;;0;0;0
31069001;19720429;0;1,9;20;;;;0;0;0
31069001;19720430;2;11,5;18,4;;;;0;0;0
31069001;19720501;0;11,6;19,1;;;;0;0;0
31069001;19720502;4,4;10,6;15,4;;;;0;0;0
31069001;19720503;12,8;9,4;20,1;;;;0;0;1
31069001;19720504;0,2;9,9;13,6;;;;0;0;0
31069001;19720505;0;6,6;16,2;;;;0;0;0
31069001;19720506;0;5,8;18,9;;;;0;0;0
31069001;19720507;0;5,6;20;;;;0;0;0
31069001;19720508;0,6;6,7;24,2;;;;0;0;0
31069001;19720509;0;10,8;17,4;;;;0;0;0
31069001;19720510;0;8;19,3;;;;0;0;0
31069001;19720511;4;8,9;19;;;;0;0;0
31069001;19720512;3,4;8,4;15,3;;;;0;0;0
31069001;19720513;9,6;7,8;10,4;;;;0;0;0
31069001;19720514;1,9;7,4;13,2;;;;0;0;1
31069001;19720515;4,1;7,8;14,1;;;;0;0;1
